geometry,NAME,STATEFP,COUNTYFP,GEOID,vulnerability_score,hurricane_risk,social_vulnerability,economic_vulnerability,gdp,gdp_per_capita,population,risk_category,storm_count,avg_wind_speed,max_wind_speed,median_home_value,property_growth_rate,rural_status,fema_risk_zone,population_density,property_exposure,rural_factor,fema_risk_factor,enhanced_vulnerability,enhanced_risk_category,gdp_fema_correlation,critical_rural
"POLYGON ((-85.4941 29.7432, -84.9941 29.7432, -84.9941 30.2432, -85.4941 30.2432, -85.4941 29.7432))",Gulf,12,021,12021,0.7309196632309114,0.6229745373054786,0.6062976688415114,0.9994684921875553,956,581.4208075667417,1644248,High,24,65.96153846153847,135.0,235000,2.2,rural_coastal,moderate,19,0.10869565217391304,0.9,0.5,0.6336359969669656,High,0.478,False
"POLYGON ((-83.2146 30.2728, -82.7146 30.2728, -82.7146 30.7728, -83.2146 30.7728, -83.2146 30.2728))",Hamilton,12,022,12022,0.5201407921847173,0.2515575522456063,0.398392570954916,1.0,477,319.6337546646761,1492333,Moderate,16,36.3,65.0,190000,1.3,rural,low,14,0.043478260869565216,1.0,0.25,0.5012635544262978,Moderate,0.11925,False
"POLYGON ((-82.0706 27.2323, -81.5706 27.2323, -81.5706 27.7323, -82.0706 27.7323, -82.0706 27.2323))",Hardee,12,023,12023,0.6455383351131698,0.39851558155272804,0.6241404405563256,0.9962999010839365,2844,2142.0679089756713,1327689,High,19,49.65,92.0,205000,1.7,rural,low,28,0.06521739130434782,1.0,0.25,0.586760441977104,Moderate,0.711,False
"POLYGON ((-81.4523 26.3073, -80.9523 26.3073, -80.9523 26.8073, -81.4523 26.8073, -81.4523 26.3073))",Hendry,12,024,12024,0.5869451743529317,0.32031699129630753,0.5815824464200827,0.9478121463612794,4735,26024.06195210693,181947,Moderate,16,40.833333333333336,100.0,225000,2.0,rural,low,32,0.09420289855072464,1.0,0.25,0.5547987460904942,Moderate,1.18375,False
"POLYGON ((-82.7154 28.2869, -82.2154 28.2869, -82.2154 28.7869, -82.7154 28.7869, -82.7154 28.2869))",Hernando,12,025,12025,0.6299613572222493,0.5501230114569076,0.3685217163729324,0.9978521257586885,2803,1377.5404391420032,2034786,High,26,50.54545454545455,90.0,285000,3.9,suburban,moderate,235,0.18115942028985507,0.4,0.5,0.507037405348522,Moderate,1.4015,False
"POLYGON ((-81.5823 27.0667, -81.0823 27.0667, -81.0823 27.5667, -81.5823 27.5667, -81.5823 27.0667))",Highlands,12,026,12026,0.6433186363997698,0.4399002995035076,0.6160717855850274,0.9417899364095283,3922,28990.220789876337,135287,High,21,44.57142857142857,100.0,240000,2.8,rural,low,104,0.11594202898550725,1.0,0.25,0.5947358250718895,Moderate,0.9805,False
"POLYGON ((-82.5518 27.7404, -82.0518 27.7404, -82.0518 28.2404, -82.5518 28.2404, -82.5518 27.7404))",Hillsborough,12,027,12027,0.5493167588553833,0.435677769067385,0.5155102513196365,0.7346419194417948,85356,131018.20157732678,651482,Moderate,21,48.57142857142857,90.0,385000,5.6,urban,high,1374,0.32608695652173914,0.2,0.75,0.4541672677234804,Moderate,64.017,False
"POLYGON ((-86.1102 30.5793, -85.6102 30.5793, -85.6102 31.0793, -86.1102 31.0793, -86.1102 30.5793))",Holmes,12,028,12028,0.5449368882231393,0.33950768490003724,0.3670908255278982,0.9966885553491831,2907,1950.641457069448,1490279,Moderate,19,38.6551724137931,75.0,175000,1.4,rural,low,22,0.021739130434782608,1.0,0.25,0.511980623487382,Moderate,0.72675,False
"POLYGON ((-80.7756 27.4148, -80.2756 27.4148, -80.2756 27.9148, -80.7756 27.9148, -80.7756 27.4148))",Indian River,12,029,12029,0.6895003951511929,0.5185938867661114,0.6221724706670488,0.9847036641487791,2440,7853.639067348174,310684,High,25,49.90909090909091,85.0,480000,4.8,suburban,high,263,0.463768115942029,0.4,0.75,0.6037773218430993,High,1.83,False
"POLYGON ((-85.4941 30.5302, -84.9941 30.5302, -84.9941 31.0302, -85.4941 31.0302, -85.4941 30.5302))",Jackson,12,030,12030,0.4688923389777693,0.18522750876064512,0.317124052947864,0.9988803986305068,878,871.0784109466182,1007946,Moderate,13,38.642857142857146,60.0,185000,1.6,rural,low,46,0.036231884057971016,1.0,0.25,0.46675414431742956,Moderate,0.2195,False
"POLYGON ((-84.1182 30.2961, -83.6182 30.2961, -83.6182 30.7961, -84.1182 30.7961, -84.1182 30.2961))",Jefferson,12,031,12031,0.5086257071181884,0.2769653242611242,0.3289957772319179,0.9971361474805446,2806,1730.1859487443203,1621791,Moderate,15,44.3125,80.0,210000,1.8,rural,low,9,0.07246376811594203,1.0,0.25,0.49896046963096197,Moderate,0.7015,False
"POLYGON ((-83.4607 29.7628, -82.9607 29.7628, -82.9607 30.2628, -83.4607 30.2628, -83.4607 29.7628))",Lafayette,12,032,12032,0.6545374373202675,0.3222680522891582,0.7551306646338823,0.9969700567147987,4938,1811.9917304484331,2725178,High,18,40.2,75.0,160000,0.9,rural,low,8,0.0,1.0,0.25,0.5809871573420258,Moderate,1.2345,False
"POLYGON ((-81.8826 28.5539, -81.3826 28.5539, -81.3826 29.0539, -81.8826 29.0539, -81.8826 28.5539))",Lake,12,033,12033,0.513080195949086,0.3134609606893271,0.317282707375054,0.9750366648694636,18318,12614.990062544677,1452082,Moderate,17,44.64,75.0,345000,4.7,suburban,moderate,422,0.26811594202898553,0.4,0.5,0.45045230302703243,Moderate,9.159,False
"POLYGON ((-82.0995 26.3129, -81.5995 26.3129, -81.5995 26.8129, -82.0995 26.8129, -82.0995 26.3129))",Lee,12,034,12034,0.5409543583502705,0.439141574034989,0.3284396951133044,0.8892194006742787,37051,54883.13392752659,675089,Moderate,17,60.54166666666666,125.0,420000,6.1,suburban,high,588,0.37681159420289856,0.4,0.75,0.48867953150684357,Moderate,27.78825,False
"POLYGON ((-84.5033 30.2083, -84.0033 30.2083, -84.0033 30.7083, -84.5033 30.7083, -84.5033 30.2083))",Leon,12,035,12035,0.513991544874339,0.24794464042828335,0.4023251558861575,0.9803871397905946,19380,9979.685315495546,1941945,Moderate,14,41.8125,80.0,320000,3.8,urban,low,375,0.2318840579710145,0.2,0.25,0.41490543083662423,Moderate,4.845,False
"POLYGON ((-83.0312 29.0497, -82.5312 29.0497, -82.5312 29.5497, -83.0312 29.5497, -83.0312 29.0497))",Levy,12,036,12036,0.563320232972996,0.33978262544640764,0.4251843128736512,0.9995062964411254,1519,562.8008288992853,2699001,Moderate,16,44.79166666666666,105.0,220000,2.1,rural,low,42,0.08695652173913043,1.0,0.25,0.5372750825723833,Moderate,0.37975,False
"POLYGON ((-85.1324 29.9888, -84.6324 29.9888, -84.6324 30.4888, -85.1324 30.4888, -85.1324 29.9888))",Liberty,12,037,12037,0.44266842722080757,0.2253331116142429,0.780600623382203,0.394516651868165,4854,298542.3457777231,16259,Moderate,10,58.45454545454545,90.0,170000,1.0,rural,low,8,0.014492753623188406,1.0,0.25,0.44425528367827205,Moderate,1.2135,False
"POLYGON ((-83.6629 30.2162, -83.1629 30.2162, -83.1629 30.7162, -83.6629 30.7162, -83.6629 30.2162))",Madison,12,038,12038,0.5059197598351073,0.24447928601579932,0.3615631206408794,0.9988636974550793,731,879.3043511732278,831339,Moderate,15,38.60869565217392,70.0,195000,1.5,rural,low,19,0.050724637681159424,1.0,0.25,0.49335011265937345,Moderate,0.18275,False
"POLYGON ((-82.5751 27.2489, -82.0751 27.2489, -82.0751 27.7489, -82.5751 27.7489, -82.5751 27.2489))",Manatee,12,039,12039,0.4557109545449216,0.16712982505510998,0.3362838784980609,0.9599128699115311,21132,20064.012669609365,1053229,Moderate,9,49.75,83.0,395000,5.4,suburban,high,468,0.34057971014492755,0.4,0.75,0.4291377479746814,Moderate,15.849,False
"POLYGON ((-82.2903 28.9497, -81.7903 28.9497, -81.7903 29.4497, -82.2903 29.4497, -82.2903 28.9497))",Marion,12,040,12040,0.6067765256349328,0.34255931442508053,0.5863765679215645,0.9794660982947708,10682,10433.331965924164,1023834,High,18,47.16666666666666,75.0,270000,3.6,suburban,moderate,175,0.15942028985507245,0.4,0.5,0.49069241982055173,Moderate,5.341,False
"POLYGON ((-80.6383 26.8503, -80.1383 26.8503, -80.1383 27.3503, -80.6383 27.3503, -80.6383 26.8503))",Martin,12,041,12041,0.6875686026684033,0.7000099961265009,0.364102617061256,0.9944460636647536,3771,3055.1506956523854,1234309,High,30,60.16216216216216,112.0,520000,5.1,suburban,high,351,0.5217391304347826,0.4,0.75,0.6110600612637838,High,2.8282499999999997,False
"POLYGON ((-80.7426 25.3706, -80.2426 25.3706, -80.2426 25.8706, -80.7426 25.8706, -80.7426 25.3706))",Miami-Dade,12,042,12042,0.4150265607499256,0.5740917003356851,0.6179662687188385,0.0,182792,492856.2376814251,370883,Moderate,21,66.12,145.0,650000,5.7,urban,very_high,1315,0.7101449275362319,0.2,1.0,0.43914516433493545,Moderate,182.792,False
"POLYGON ((-81.4973 24.5093, -80.9973 24.5093, -80.9973 25.0093, -81.4973 25.0093, -81.4973 24.5093))",Monroe,12,043,12043,0.6779902561112948,0.48621245318163847,0.6119979840096578,0.9996862654524737,991,474.15950323777736,2090014,High,19,64.5,120.0,750000,4.5,rural_coastal,very_high,49,0.855072463768116,0.9,1.0,0.7499044559414592,High,0.991,True
"POLYGON ((-82.0337 30.3616, -81.5337 30.3616, -81.5337 30.8616, -82.0337 30.8616, -82.0337 30.3616))",Nassau,12,044,12044,0.5297083803451228,0.3224868841584756,0.3364527271245959,0.9992593618145126,1548,684.4251712831468,2261752,Moderate,18,43.0,70.0,360000,4.8,suburban,moderate,124,0.2898550724637681,0.4,0.5,0.4657351533201943,Moderate,0.774,False
"POLYGON ((-86.8165 30.3802, -86.3165 30.3802, -86.3165 30.8802, -86.8165 30.8802, -86.8165 30.3802))",Okaloosa,12,045,12045,0.7012760273208491,0.5681482709870216,0.5906723581709925,0.9893833715824758,2608,5548.71186058436,470019,High,26,50.19444444444444,102.0,350000,5.0,suburban,high,281,0.2753623188405797,0.4,0.75,0.573120677465565,Moderate,1.956,False
"POLYGON ((-81.0795 26.9939, -80.5795 26.9939, -80.5795 27.4939, -81.0795 27.4939, -81.0795 26.9939))",Okeechobee,12,046,12046,0.6082433028172541,0.3635694519822844,0.5460045137322888,0.9967138930155125,1865,1938.1617289441851,962252,High,17,50.94444444444444,95.0,255000,2.6,rural,low,41,0.13768115942028986,1.0,0.25,0.5769722762291893,Moderate,0.46625,False
"POLYGON ((-81.4894 28.2242, -80.9894 28.2242, -80.9894 28.7242, -81.4894 28.7242, -81.4894 28.2242))",Orange,12,047,12047,0.515198961593156,0.13018419130702796,0.7001862013934359,0.8435647488410469,98698,77369.72109492525,1275667,Moderate,8,48.888888888888886,75.0,380000,5.9,urban,moderate,1492,0.3188405797101449,0.2,0.5,0.43506435381568254,Moderate,49.349,False
"POLYGON ((-81.3284 27.8484, -80.8284 27.8484, -80.8284 28.3484, -81.3284 28.3484, -81.3284 27.8484))",Osceola,12,048,12048,0.5428454372853644,0.31399571683182914,0.3960396760425427,0.9947841591328997,3772,2888.6263019686617,1305811,Moderate,16,49.5625,80.0,330000,5.1,suburban,moderate,425,0.2463768115942029,0.4,0.5,0.4659390585618864,Moderate,1.886,False
"POLYGON ((-80.359 26.4017, -79.859 26.4017, -79.859 26.9017, -80.359 26.9017, -80.359 26.4017))",Palm Beach,12,049,12049,0.5678611253305261,0.500265849717095,0.3273556373976422,0.8984936474146514,92545,50315.22793404462,1839304,Moderate,20,59.13636363636363,125.0,650000,5.7,urban,high,756,0.7101449275362319,0.2,0.75,0.542265304898979,Moderate,69.40875,False
"POLYGON ((-82.6923 28.0493, -82.1923 28.0493, -82.1923 28.5493, -82.6923 28.5493, -82.6923 28.0493))",Pasco,12,050,12050,0.6905632735850158,0.5717475686278451,0.561849489389755,0.9776979977231709,20741,11304.186216860957,1834807,High,27,47.78125,95.0,310000,4.3,suburban,moderate,372,0.21739130434782608,0.4,0.5,0.5543246504491117,Moderate,10.3705,False
"POLYGON ((-82.9306 27.6215, -82.4306 27.6215, -82.4306 28.1215, -82.9306 28.1215, -82.9306 27.6215))",Pinellas,12,051,12051,0.6441718953358724,0.47618866710888663,0.5581740447456303,0.9541473835620956,54888,22903.725736146476,2396466,High,22,49.56666666666667,100.0,365000,4.9,urban,high,3347,0.2971014492753623,0.2,0.75,0.5109317422938393,Moderate,41.166,False
"POLYGON ((-81.9825 27.7502, -81.4825 27.7502, -81.4825 28.2502, -81.9825 28.2502, -81.9825 27.7502))",Polk,12,052,12052,0.48973422809009187,0.4384949111204915,0.6582286336573926,0.38955891181559166,28257,300984.2142263693,93882,Moderate,23,42.785714285714285,75.0,295000,4.1,suburban,moderate,387,0.1956521739130435,0.4,0.5,0.41831167165732847,Moderate,14.1285,False
"POLYGON ((-81.9257 29.3995, -81.4257 29.3995, -81.4257 29.8995, -81.9257 29.8995, -81.9257 29.3995))",Putnam,12,053,12053,0.6669179294505716,0.43942189792759656,0.6489627003490333,0.9882012005827435,2608,6130.974350053247,425381,High,24,40.0,67.0,230000,2.3,rural,low,79,0.10144927536231885,1.0,0.25,0.6075781097407182,High,0.652,False
"POLYGON ((-81.5624 29.6486, -81.0624 29.6486, -81.0624 30.1486, -81.5624 30.1486, -81.5624 29.6486))",St. Johns,12,054,12054,0.5405419262026685,0.35907107010526174,0.3803334712710797,0.9427115225974662,18153,28536.305858643656,636137,Moderate,17,49.4,95.0,300000,3.5,suburban,moderate,200,0.2028985507246377,0.4,0.5,0.4549564764449522,Moderate,9.0765,False
"POLYGON ((-80.6383 27.0967, -80.1383 27.0967, -80.1383 27.5967, -80.6383 27.5967, -80.6383 27.0967))",St. Lucie,12,055,12055,0.69286803524034,0.5923385847404421,0.5536051614121932,0.9661701764016841,12394,16982.06018122053,729829,High,26,56.86486486486486,105.0,380000,5.3,suburban,moderate,468,0.3188405797101449,0.4,0.5,0.575807829689915,Moderate,6.197,False
"POLYGON ((-87.1665 30.4302, -86.6665 30.4302, -86.6665 30.9302, -87.1665 30.9302, -87.1665 30.4302))",Santa Rosa,12,056,12056,0.5592060427526647,0.32966290779714164,0.4261312286194294,0.998338370159931,2554,1138.0472730756462,2244195,Moderate,19,38.0,70.0,340000,4.5,suburban,high,203,0.2608695652173913,0.4,0.75,0.4794835597486358,Moderate,1.9154999999999998,False
"POLYGON ((-82.5348 26.994, -82.0348 26.994, -82.0348 27.494, -82.5348 27.494, -82.5348 26.994))",Sarasota,12,057,12057,0.45234128350419633,0.20034414427090663,0.5011776226020724,0.7395011300507064,35076,128624.86248624862,272700,Moderate,10,49.875,90.0,550000,6.5,suburban,high,772,0.5652173913043478,0.4,0.75,0.47126526485915204,Moderate,26.307000000000002,False
"POLYGON ((-81.4873 28.4511, -80.9873 28.4511, -80.9873 28.9511, -81.4873 28.9511, -81.4873 28.4511))",Seminole,12,058,12058,0.4318820323320751,0.051071043304053015,0.4157357120596572,0.9557763379751891,26684,22101.406061569858,1207344,Moderate,7,39.0,57.0,370000,5.2,suburban,moderate,1229,0.30434782608695654,0.4,0.5,0.40793973605037387,Moderate,13.342,False
"POLYGON ((-82.3098 28.445, -81.8098 28.445, -81.8098 28.945, -82.3098 28.945, -82.3098 28.445))",Sumter,12,059,12059,0.6046907351356723,0.3370492204198409,0.5680414809812286,0.9981953422445576,1818,1208.493756780328,1504352,High,18,42.55,80.0,280000,3.4,suburban,low,189,0.17391304347826086,0.4,0.25,0.4922922784457697,Moderate,0.4545,False
"POLYGON ((-83.2635 29.941, -82.7635 29.941, -82.7635 30.441, -83.2635 30.441, -83.2635 29.941))",Suwannee,12,060,12060,0.5398473436575383,0.2669331271050851,0.4511298505390476,0.9924504588459666,4446,4038.059115877583,1101024,Moderate,16,41.578947368421055,65.0,210000,1.9,rural,low,47,0.07246376811594203,1.0,0.25,0.5199420972764626,Moderate,1.1115,False
"POLYGON ((-83.8318 29.8089, -83.3318 29.8089, -83.3318 30.3089, -83.8318 30.3089, -83.8318 29.8089))",Taylor,12,061,12061,0.582390704002496,0.28454943817966194,0.5707736154838219,0.9911294802849491,2550,4688.6894101812595,543862,Moderate,13,50.94444444444444,100.0,195000,1.6,rural,low,20,0.050724637681159424,1.0,0.25,0.5436629062349015,Moderate,0.6375,False
"POLYGON ((-82.6787 29.8084, -82.1787 29.8084, -82.1787 30.3084, -82.6787 30.3084, -82.6787 29.8084))",Union,12,062,12062,0.5961321301134384,0.1374334492485611,0.8431999700958582,0.960662531284188,4491,19694.777003025916,228030,Moderate,10,41.9,65.0,175000,1.1,rural,low,15,0.021739130434782608,1.0,0.25,0.5494786886751061,Moderate,1.12275,False
"POLYGON ((-81.3284 28.778, -80.8284 28.778, -80.8284 29.278, -81.3284 29.278, -81.3284 28.778))",Volusia,12,063,12063,0.34924159022702883,0.2673521428448002,0.4982811163710638,0.3093879939259655,21830,340471.3258574169,64117,Low,15,43.73684210526316,75.0,325000,4.6,suburban,moderate,457,0.2391304347826087,0.4,0.5,0.33619794472712766,Low,10.915,False
"POLYGON ((-84.6463 29.9049, -84.1463 29.9049, -84.1463 30.4049, -84.6463 30.4049, -84.6463 29.9049))",Wakulla,12,064,12064,0.48204991385229445,0.23046560399874033,0.3018335029793805,0.997712071196614,1983,1446.5224375106684,1370874,Moderate,13,46.0,75.0,295000,3.1,rural,low,48,0.1956521739130435,1.0,0.25,0.5066559506174927,Moderate,0.49575,False
"POLYGON ((-86.3665 30.3802, -85.8665 30.3802, -85.8665 30.8802, -86.3665 30.8802, -86.3665 30.3802))",Walton,12,065,12065,0.5558414082277988,0.3947843775754286,0.3291401658778364,0.9972853581142548,1952,1656.6942499469553,1178250,Moderate,20,44.72,85.0,500000,9.2,rural_coastal,high,91,0.4927536231884058,0.9,0.75,0.5975319238299566,Moderate,1.464,False
"POLYGON ((-85.8985 30.3636, -85.3985 30.3636, -85.3985 30.8636, -85.8985 30.8636, -85.8985 30.3636))",Washington,12,066,12066,0.600876318615452,0.32392918511533964,0.5796125692172099,0.9914029126805107,2208,4554.013946667712,484847,High,18,38.04545454545455,80.0,185000,1.4,rural,low,26,0.036231884057971016,1.0,0.25,0.5524317694699732,Moderate,0.552,False
